mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
17472,ca61f1e4-5a51-45b8-b8e3-f6564d9c2648,,LOV121782,,13287,,4870808,,,29133405,LoveJe00,jeremiyah-love-1,19235,,1934,42625,0,26768,,Jeremiyah Love,jeremiyah love,RB,ARI,2005-05-31,21.1,2026,1,3,3,,72,190,Notre Dame,2026
17473,17b64129-5118-4525-ac9a-d79ff5313568,,PRI206342,,13286,,4685512,,,28875230,PricJa02,jadarian-price-1,19299,,1935,42654,0,26765,,Jadarian Price,jadarian price,RB,SEA,2003-10-09,22.8,2026,1,32,32,,71,205,Notre Dame,2026
17474,ec3e0874-c2bc-49f6-b4b1-dfc874eecb9b,,JOH224817,,13337,,4832955,,,28877097,JohnEm01,emmett-johnson-2,19240,,1936,42796,0,26835,,Emmett Johnson,emmett johnson,RB,KCC,2003-10-10,22.8,2026,5,21,161,,71,200,Nebraska,2026
17475,17deebdc-0ec2-4f3f-9584-d21b01743265,,MCG547540,,13424,,4686468,,,3161581,McGoSe01,seth-mcgowan-1,19303,,1937,42859,0,26942,,Seth McGowan,seth mcgowan,RB,IND,2001-10-23,24.7,2026,7,21,237,,73,215,Kentucky,2026
17476,0111286e-ef59-40dd-97e8-967204490e34,,SIN454221,,13288,,4685555,,,28876754,SingNi01,nicholas-singleton-1,18518,,1938,42763,0,27045,,Nicholas Singleton,nicholas singleton,RB,TEN,2004-01-06,22.5,2026,5,25,165,,72,219,Penn State,2026
17477,0ff54d6c-4d2a-4974-9815-b889e7dc293e,,COL293648,,13345,,4702555,,,28877250,ColeJo00,jonah-coleman-1,19241,,1939,42730,0,25886,,Jonah Coleman,jonah coleman,RB,DEN,2003-08-20,22.9,2026,4,8,108,,69,228,Washington,2026
17478,7980dd2b-0ce0-4936-aaff-536c09608429,,ALL532376,,13405,,4685246,,,28875485,AlleKa01,kaytron-allen-1,18533,,1940,42809,0,25939,,Kaytron Allen,kaytron allen,RB,WAS,2003-01-08,23.5,2026,6,6,187,,71,217,Penn State,2026
17479,,,,,,,4685470,,,28923721,,,18530,,1941,42890,0,,,Le'Veon Moss,leveon moss,RB,MIA,2002-11-15,23.7,2026,,,,,71,210,Texas A&M,2026
17480,261750e0-4199-11f1-bbb5-8b6de4cce956,,OTT017302,,13419,,4685489,,,28876778,,,19422,,,42895,0,25891,,Jaydn Ott,jaydn ott,RB,KCC,2002-12-16,23.6,2026,,,,,71,208,Oklahoma,2026
17481,b17d816a-b687-488f-ac03-7dcba5aae0b6,,CLA041524,,13347,,4832846,,,28883197,ClaiDe00,demond-claiborne-1,19234,,1943,42820,0,26764,,Demond Claiborne,demond claiborne,RB,MIN,2003-10-09,22.8,2026,6,17,198,,70,188,Wake Forest,2026
17482,b783f45a-16ea-4145-9f3a-fafaa1bb0058,,WAS569019,,13305,,4686658,,,26693539,WashMi21,mike-washington-5,19300,,1944,42744,0,26932,,Mike Washington Jr.,mike washington,RB,LVR,2003-07-03,23.0,2026,4,22,53,,74,228,Arkansas,2026
17483,f5d02460-4194-11f1-b42b-111a688b2d6a,,HEM079286,,13416,,4688835,,,26700412,HembRo00,,19304,,,42941,0,25028,,Roman Hemby,roman hemby,RB,LVR,2002-08-16,23.9,2026,,,,,72,208,Indiana,2026
17484,e4a112f0-431d-11f1-8606-3f219ba235c8,,,,13327,,5089535,,,28911101,,,19308,,,43185,0,26836,,Desmond Reid,desmond reid,RB,FA,2004-07-29,22.0,2026,,,,,68,175,Pittsburgh,2026
17485,4dea3ae1-8c53-4ef1-bd72-e2d2dfb3fa97,,BLA097235,,13414,,4696044,,,3162599,BlacKa00,kaelon-black-1,19607,,1947,42712,0,26981,,Kaelon Black,kaelon black,RB,SFO,2001-10-17,24.7,2026,3,26,90,,69,208,Indiana,2026
17486,e7144c4a-1dd7-4474-b033-ad06e08f1745,,MIL303300,,13403,,4685477,,,28875653,MillJa03,,19302,,1948,42867,0,26771,,Jam Miller,jam miller,RB,NEP,,,2026,7,29,245,,70,209,Alabama,2026
17487,074d3d60-418e-11f1-97b1-f7c9890d626f,,TAY388181,,13348,,4713118,,,26726239,TaylJM00,,19245,,1949,,0,26736,,J'Mari Taylor,jmari taylor,RB,JAC,2002-03-15,24.3,2026,,,,,69,199,Virginia,2026
17488,9dfa1720-4291-11f1-8ff5-8dccd5ef548d,,,,13780,,4565318,,,,,,19423,,,,0,,,Terion Stewart,terion stewart,RB,KCC,2001-11-29,24.6,2026,,,,,69,222,Virginia Tech,2026
17489,,,TRA547801,,,,4430893,,,3162240,TrayCh00,,19425,,,43213,0,,,Chip Trayanum,chip trayanum,RB,NYJ,,,2026,,,,,,,Toledo,2026
17490,e656bff0-4322-11f1-a39d-09ec94a91f1f,,WHI812467,,13437,,4432631,,,3161758,WhitNo00,,19305,,,43197,0,26830,,Noah Whittington,noah whittington,RB,HOU,2001-12-13,24.6,2026,,,,,68,203,Oregon,2026
17491,faa89ce0-42a4-11f1-9d8f-414640fbdaef,,CON545055,,13315,,5082269,,,,ConnDe00,,19306,,,,0,26949,,Dean Connors,dean connors,RB,LAR,2003-08-29,22.9,2026,,,,,72,206,Houston,2026
17492,17aea600-41af-11f1-93d0-9f964ffea979,,DON153725,,13277,,5081999,,,28900249,DonaCJ00,,19431,,,42940,0,26950,,CJ Donaldson,cj donaldson,RB,NOS,2004-07-09,22.0,2026,,,,,73,230,Ohio State,2026
17493,bf110080-418e-11f1-8233-2d15b9a7b86c,,JON150008,,13595,,4881826,,,26738725,JoneCa06,,19649,,,42881,0,28149,,Cash Jones,cash jones,RB,ATL,2002-04-05,24.3,2026,,,,,71,195,Georgia,2026
17494,,,,,,,,,,,,,,,,,0,,,Logan Diggs,logan diggs,RB,FA,,,2026,,,,,,,Mississippi,2026
17495,,,,,,,,,,,,,19970,,,,0,,,Roydell Williams,roydell williams,RB,FA,,,2026,,,,,,,Florida State,2026
17496,,,,,,,,,,,,,,,,,0,,,Mel Brown,mel brown,RB,FA,,,2026,,,,,,,Colordado State,2026
17497,a8693aee-cde4-464f-a0d8-355fb72c041d,,TAT143045,,13279,,4871023,,,29124411,TateCa00,carnell-tate-1,19268,,1959,42626,0,26752,,Carnell Tate,carnell tate,WR,TEN,2005-01-19,21.5,2026,1,4,4,,74,192,Ohio State,2026
17498,5368ab1c-5463-4326-86c0-17c06bf51c9d,,TYS405541,,13281,,4880281,,,28900885,TysoJo00,jordyn-tyson-1,19233,,1960,42630,0,26751,,Jordyn Tyson,jordyn tyson,WR,NOS,2004-08-12,21.9,2026,1,8,8,,74,195,Arizona State,2026
17499,a6a64214-6f1d-4682-9559-287fb4fe7461,,LEM694125,,13294,,4870795,,,29123772,LemoMa00,makai-lemon-1,19231,,1961,42642,0,26748,,Makai Lemon,makai lemon,WR,PHI,2004-06-02,22.1,2026,1,20,20,,71,190,USC,2026
17500,a17e4b32-20bb-4552-855e-0aa3cf0bafab,,BOS677861,,13346,,4832800,,,28875368,BostDe00,denzel-boston-1,19298,,1962,42661,0,26747,,Denzel Boston,denzel boston,WR,CLE,2003-12-06,22.6,2026,2,7,39,,76,207,Washington,2026
17501,395b5873-4054-4190-913c-60b664d11e61,,CON046719,,13298,,4870653,,,29123718,ConcKC00,,19242,,1963,42646,0,26762,,KC Concepcion,kc concepcion,WR,CLE,2004-09-24,21.8,2026,1,24,24,,71,195,Texas A&M,2026
17502,72594204-b4a9-4f08-907d-029d8a425ddb,,COO816508,,13276,,4723820,,,28900921,CoopOm00,omar-cooper-jr-1,19314,,1964,42652,0,26760,,Omar Cooper Jr.,omar cooper,WR,NYJ,2003-12-14,22.6,2026,1,30,30,,73,200,Indiana,2026
17503,d37b698e-7a10-4363-a859-6937c7d3e6f6,,BER218265,,13274,,4685261,,,28878358,BernGe00,germie-bernard-1,19263,,1965,42669,0,26750,,Germie Bernard,germie bernard,WR,PIT,2003-12-02,22.6,2026,2,15,47,,73,204,Alabama,2026
17504,,,DAN490797,,,,4605951,,,3167404,DaniCJ00,cj-daniels-1,19316,,1966,42819,0,,,CJ Daniels,cj daniels,WR,LAR,2002-01-04,24.5,2026,6,16,197,,74,205,Miami,2026
17505,88739764-6bec-4d65-9381-a75510c5f595,,SAR527100,,13268,,5088338,,,28888850,SarrEl00,elijah-sarratt-1,19310,,1967,42737,0,25892,,Elijah Sarratt,elijah sarratt,WR,BAL,2003-05-28,23.1,2026,4,15,115,,74,210,Indiana,2026
17506,e1d2a5a1-71a9-4053-b475-8e5075cb1860,,BEL267684,,13311,,4869961,,,28877196,BellCh00,chris-bell-2,19309,,1968,42716,0,26745,,Chris Bell,chris bell,WR,MIA,2004-06-07,22.1,2026,3,30,94,,74,222,Louisville,2026
17507,41f192cd-cc4a-44bc-9c21-43a19ecfc86c,,BRA531428,,13320,,4870612,,,29123979,BranZa00,zachariah-branch-1,19262,,1969,42701,0,26909,,Zachariah Branch,zachariah branch,WR,ATL,2004-03-29,22.3,2026,3,15,79,,70,180,Georgia,2026
17508,1f9e2e7e-d692-4494-adfb-86437a976450,,BEL597603,,13402,,4683153,,,26726589,BellSk00,skyler-bell-1,19251,,1970,42747,0,26799,,Skyler Bell,skyler bell,WR,BUF,2002-07-05,24.0,2026,4,25,125,,72,185,UConn,2026
17509,0dcab415-e4a8-4f37-8164-45b9f23c668a,,BRA836631,,13353,,5091739,,,26904572,BrazCh01,,19239,,1971,42705,0,26731,,Chris Brazzell II,chris brazzell,WR,CAR,2003-09-22,22.8,2026,3,19,83,,76,198,Tennessee,2026
17510,d4e8315f-e8e7-4d5b-8494-3306c220cc31,,BUR271406,,13333,,4683151,,,26694367,BurkDe02,deion-burks-1,19315,,1972,42876,0,25907,,Deion Burks,deion burks,WR,IND,2003-01-08,23.5,2026,7,38,254,,69,180,Oklahoma,2026
17511,ed9f9d96-d1e5-43bd-ac69-cbd29bb0b9bb,,FIE775129,,13285,,4682648,,,26706066,FielMa00,malachi-fields-1,19313,,1973,42696,0,25935,,Malachi Fields,malachi fields,WR,NYG,2003-08-26,22.9,2026,3,10,74,,76,220,Notre Dame,2026
17512,d80b6d95-5b56-4e52-9a19-05957961f506,,WIL143106,,13301,,5081432,,,28877974,WillAn04,antonio-williams-2,19237,,1974,42693,0,26859,,Antonio Williams,antonio williams,WR,WAS,2004-07-14,22.0,2026,3,7,71,,71,190,Clemson,2026
17513,,,,,,,,,,26725442,,,19325,,,,0,,,Eric McAlister,eric mcalister,WR,FA,,,2026,,,,,,,TCU,2026
17514,,,STR336088,,,,4710714,,,26696676,StriDe01,dezhaun-stribling-1,19330,,1976,42655,0,,,De'Zhaun Stribling,dezhaun stribling,WR,SFO,2002-12-18,23.6,2026,2,1,33,,74,205,Mississippi,2026
17515,b76fe5d0-4265-11f1-968b-73d52a22bbb8,,RIV458622,,13316,,4713277,,,29122776,RiveEr00,,19323,,,42990,0,26846,,Eric Rivers,eric rivers,WR,TBB,2002-09-17,23.8,2026,,,,,71,180,Georgia Tech,2026
17516,d97fb4d0-4278-11f1-8a2c-2ba7842d3cc3,,AND035767,,13309,,4691138,,,28877406,AndeAa00,,19324,,,43052,0,26857,,Aaron Anderson,aaron anderson,WR,CLE,2002-12-02,23.6,2026,,,,,68,188,LSU,2026
17517,ea285842-4fdf-4b27-bd73-6bfd916c6bc5,,LAN311008,,13293,,4870847,,,29158151,LaneJa01,jakobi-lane-1,19230,,1979,42702,0,26746,,Ja'Kobi Lane,jakobi lane,WR,BAL,2004-05-05,22.2,2026,3,16,80,,76,200,USC,2026
17518,a07ac8bd-3929-4e48-b3c4-3ddeecd09dca,,ALL092954,,13413,,4912218,,,28875899,AlleCy00,cyrus-allen-1,19631,,1980,42773,0,26979,,Cyrus Allen,cyrus allen,WR,KCC,2003-02-11,23.4,2026,5,36,176,,71,180,Cincinnati,2026
17519,4d5c31ba-45ea-4247-a41a-acfa82bdbd39,,LAN016345,,13420,,4879276,,,26725855,LancBr00,,19319,,1981,42758,0,26852,,Bryce Lance,bryce lance,WR,NOS,2002-08-20,23.9,2026,4,36,136,,75,209,North Dakota State,2026
17520,8e9964c2-b74c-4eb1-967b-2f82cc8f9767,,HUR541377,,13317,,5220680,,,29421796,HursTe00,,19320,,1982,42706,0,26807,,Ted Hurst,ted hurst,WR,TBB,2004-07-02,22.0,2026,3,20,84,,75,195,Georgia State,2026
17521,3f22d5fe-e6e4-4aab-8992-caf75caf999a,,THO417520,,13411,,4869748,,,28909795,ThomZa05,zavion-thomas-1,19259,,1983,42711,0,26948,,Zavion Thomas,zavion thomas,WR,CHI,2004-02-14,22.4,2026,3,25,89,,70,190,LSU,2026
17522,0c02af70-429c-11f1-bcde-396d2feaac5b,,ROB111721,,13410,,4714388,,,26728791,RobeCh00,,19339,,,43126,0,26851,,Chase Roberts,chase roberts,WR,LVR,2001-01-21,25.5,2026,,,,,76,210,BYU,2026
17523,068f0100-418f-11f1-8f01-fd225203c6fa,,CAL289836,,13392,,4885466,,,28900417,CaldJe01,,19344,,,42880,0,26963,,Jeff Caldwell,jeff caldwell,WR,KCC,2003-03-02,23.4,2026,,,,,77,215,Cincinnati,2026
17524,af4296e0-431f-11f1-aabd-777a3653f8ae,,KEY102412,,13336,,4685424,,,28873407,KeyxDa00,,19329,,,43188,0,28138,,Dane Key,dane key,WR,DEN,2003-07-01,23.0,2026,,,,,75,210,Nebraska,2026
17525,0a6c42b0-4275-11f1-adcc-79f7f62bcf37,,THO309081,,13318,,4718457,,,28922853,ThomNo01,,19332,,,43033,0,26844,,Noah Thomas,noah thomas,WR,CIN,2004-01-13,22.5,2026,,,,,77,205,Georgia,2026
17526,5c342ca7-20ec-4278-8d30-f8134d5a0fd3,,VIR271235,,13297,,4869132,,,28883008,VirgRe00,,19445,,,42791,0,26945,,Reggie Virgil,reggie virgil,WR,ARI,2004-05-14,22.2,2026,5,3,143,,75,187,Texas Tech,2026
17527,29f6ab49-33a9-4fc8-838f-fc41e248829d,,CAM108646,,13394,,4879194,,,26726935,CameJo01,josh-cameron-1,19321,,,42813,0,26805,,Josh Cameron,josh cameron,WR,JAC,2003-03-18,23.3,2026,6,10,191,,73,224,Baylor,2026
17528,0b7b96b1-7733-4ceb-ac59-5ff7029df86c,,COL362413,,13338,,4685307,,,28909178,ColeKe03,kevin-coleman-jr-1,19322,,1990,42768,0,28051,,Kevin Coleman,kevin coleman,WR,MIA,2003-09-10,22.9,2026,5,37,177,,70,179,Missouri,2026
17529,c6e9feed-f5de-4717-84af-0c17af9e2a73,,THO495568,,13380,,4685553,,,28909756,ThomBr07,brenen-thompson-1,19318,,1991,42727,0,26809,,Brenen Thompson,brenen thompson,WR,LAC,2003-07-25,23.0,2026,4,5,105,,69,164,Mississippi State,2026
17530,60ce8141-c8fc-4162-8038-bf934d318b96,,BON235618,,13541,,4683159,,,26695655,BondLe00,lewis-bond-1,19326,,,42826,0,26801,,Lewis Bond,lewis bond,WR,HOU,2003-05-29,23.1,2026,6,23,204,,71,190,Boston College,2026
17531,99957c70-4b00-11f1-9521-f5e84876e4cf,,,,13943,,5081368,,,,,,20059,,,43349,0,25923,,Squirrel White,squirrel white,WR,CHI,,,2026,,,,,70,178,Florida State,2026
17532,bf715f30-426e-11f1-8cc0-9f1129d6471a,,PRE230806,,13708,,4869965,,,,PrenKo00,,19680,,,43022,0,26964,,Kobe Prentice,kobe prentice,WR,CAR,2004-03-10,22.4,2026,,,,,71,190,Baylor,2026
17533,,,,,,,,,,,,,,,,,0,,,Jordan Mosley,jordan mosley,WR,FA,,,2026,,,,,,,Mississippi State,2026
17534,,,,,,,,,,,,,,,,,0,,,Jahmal Edrine,jahmal edrine,WR,FA,,,2026,,,,,,,Virginia,2026
17535,51880560-41b9-11f1-acf9-97fd322b9ffc,,PEN095836,,13356,,4575862,,,,PenaTr00,,19334,,,,0,26967,,Trebor Pena,trebor pena,WR,JAC,2002-02-21,24.4,2026,,,,,70,187,Penn State,2026
17536,8206b840-419f-11f1-8b6b-0d6e41126fa4,,,,13621,,,,,28903382,,,19337,,,,0,26960,,Dillon Bell,dillon bell,WR,MIN,2003-11-06,22.7,2026,,,,,72,209,Georgia,2026
17537,fb57c440-4286-11f1-b0d5-63e51710be49,,BEA642403,,13776,,4814930,,,28915401,BeatHa00,,19333,,,43094,0,26803,,Hank Beatty,hank beatty,WR,TEN,,,2026,,,,,70,179,Illinois,2026
17538,,,WAL505425,,,,4699354,,,26698495,WallHa00,,19331,,,,0,,,Harrison Wallace,harrison wallace,WR,ARI,,,2026,,,,,,,Mississippi,2026
17539,,,,,,,,,,,,,19672,,,,0,,,Donavon Greene,donavon greene,WR,FA,,,2026,,,,,,,Virginia Tech,2026
17540,bb529080-4260-11f1-a80d-bff068733e76,,HIL834394,,13674,,4431334,,,26700928,HiltCh00,,19437,,,42987,0,26970,,Chris Hilton Jr.,chris hilton,WR,WAS,2002-10-11,23.8,2026,,,,,72,188,LSU,2026
17541,6b60ad35-8051-4253-8f8d-29279a213352,,BRO268113,,13533,,4698597,,,28900204,BrowBa02,barion-brown-1,19336,,2003,42812,0,25890,,Barion Brown,barion brown,WR,NOS,2003-12-12,22.6,2026,6,9,190,,71,185,LSU,2026
17542,044ebd08-c458-40ca-8c97-51c6e15abdb8,,YOU154529,,13477,,5092508,,,28934874,YounCo01,colbie-young-1,19447,,,42762,0,25906,,Colbie Young,colbie young,WR,CIN,2002-07-24,24.0,2026,4,40,140,,76,218,Georgia,2026
17543,554e5567-f992-4071-8366-5fa5c316b07c,,SAD482340,,13330,,5083315,,,29125433,SadiKe00,kenyon-sadiq-1,19279,,2005,42638,0,26755,,Kenyon Sadiq,kenyon sadiq,TE,NYJ,2005-03-04,21.4,2026,1,16,16,,75,235,Oregon,2026
17544,287b7f15-ebe2-433f-af00-b1755576f8f8,,STO806346,,13349,,4431574,,,26696120,StowEl00,eli-stowers-1,18539,,2006,42676,0,26757,,Eli Stowers,eli stowers,TE,PHI,2003-04-15,23.3,2026,2,22,54,,76,235,Vanderbilt,2026
17545,086abbb5-f5ce-4188-8c77-2808a10e3402,,END438361,,13282,,5085189,,,28916552,EndrJa00,jack-endries-1,19258,,2007,42843,0,26754,,Jack Endries,jack endries,TE,CIN,2004-03-26,22.3,2026,7,5,221,,77,245,Texas,2026
17546,6bff41b0-4191-11f1-9de2-13456d982f5a,,TRI074614,,13401,,4594749,,,26720219,TrigMi00,,19346,,2008,42887,0,28066,,Michael Trigg,michael trigg,TE,DAL,2002-06-27,24.1,2026,,,,,76,240,Baylor,2026
17547,680fc10a-4de2-4571-b228-2c2fd79d437f,,KLA269938,,13278,,4833029,,,28921209,KlarMa00,max-klare-1,19278,,2009,42683,0,26753,,Max Klare,max klare,TE,LAR,2003-07-08,23.0,2026,2,29,61,,77,246,Ohio State,2026
17548,,,JOL735174,,,,4912052,,,28927892,JolyJu00,justin-joly-1,19276,,2010,42764,0,,,Justin Joly,justin joly,TE,DEN,,,2026,5,12,152,,,,NC State,2026
17549,b8b3edc8-986a-4702-84a7-b5193331aebb,,ROU550040,,13322,,4685504,,,28877184,RousSa00,sam-roush-1,19357,,2011,42691,0,26938,,Sam Roush,sam roush,TE,CHI,2003-09-06,22.9,2026,3,5,69,,77,267,Stanford,2026
17550,,,BAI741257,,,,4870617,,,29125808,BainRu00,rueben-bain-jr-1,19395,,,42637,0,,,Rueben Bain Jr.,rueben bain,DE,TBB,2004-09-08,21.9,2026,1,15,15,,75,275,Miami,2026
17551,,,BAI173035,,,,4685248,,,28878022,BailDa20,david-bailey-5,19393,,,42624,0,,,David Bailey,david bailey,DE,NYJ,2003-08-28,22.9,2026,1,2,2,,76,251,Texas Tech,2026
17552,,,HOW526021,,,,4710752,,,26699728,HoweCa00,cashius-howell-1,19405,,,42663,0,,,Cashius Howell,cashius howell,DE,CIN,2003-04-16,23.3,2026,2,9,41,,76,235,Texas A&M,2026
17553,,,FAU124764,,,,4870707,,,29125790,FaulKe01,keldric-faulk-1,19411,,,42653,0,,,Keldric Faulk,keldric faulk,DE,TEN,2004-09-07,21.9,2026,1,31,31,,78,288,Auburn,2026
17554,fbef2f3b-ceb0-4261-b5c2-7b1cd5183322,,PAR429755,,13455,,4870886,,,29125550,ParkTJ00,tj-parker-1,19378,,,42657,0,26783,,T.J. Parker,tj parker,DE,BUF,2004-09-19,21.8,2026,2,3,35,,75,255,Clemson,2026
17555,,,WOO546776,,,,4871063,,,29124883,WoodPe00,peter-woods-1,19415,,,42651,0,,,Peter Woods,peter woods,DT,KCC,2005-03-05,21.4,2026,1,29,29,,74,315,Clemson,2026
17556,8095554c-7eae-4e7c-9213-01f24ceb0185,,REE496321,,13377,,4950400,,,29128702,ReesAr00,arvell-reese-1,19273,,,42627,0,26819,,Arvell Reese,arvell reese,LB,NYG,2005-08-30,20.9,2026,1,5,5,,76,241,Ohio State,2026
17557,dae1087c-1a37-4ca9-bc9f-a35c212ffd21,,STY526035,,13375,,5081807,,,28909269,StylSo01,sonny-styles-1,19394,,,42629,0,26785,,Sonny Styles,sonny styles,LB,WAS,2004-11-24,21.6,2026,1,7,7,,76,235,Ohio State,2026
17558,0b551444-1410-470d-afc3-0ba370d70bbd,,ALL081937,,13388,,4870598,,,29124528,AlleCJ00,,19265,,,42675,0,26820,,CJ Allen,cj allen,LB,IND,2005-03-01,21.4,2026,2,21,53,,72,235,Georgia,2026
17559,295f70a0-4191-11f1-b409-79cc43e2c9fd,,LAW599180,,13591,,4432725,,,26699373,LawsDe00,,19549,,,,0,26885,,Deontae Lawson,deontae lawson,LB,PHI,2003-02-11,23.4,2026,,,,,75,226,Alabama,2026
17560,ae7f0bc0-acad-4089-8579-54822b07d8e1,,HIL735988,,13365,,4870805,,,29124363,HillAn01,anthony-hill-jr-1,19418,,,42682,0,26822,,Anthony Hill Jr.,anthony hill,LB,TEN,2005-02-14,21.4,2026,2,28,60,,74,238,Texas,2026
17561,,,MCC606207,,,,5157289,,,29168249,McCoJe00,jermod-mccoy-1,19403,,,,0,,,Jermod McCoy,jermod mccoy,CB,LVR,,,2026,4,1,101,,,,Tennessee,2026
17562,,,DEL076452,,,,4880124,,,28876570,DelaMa00,mansoor-delane-1,19398,,,42628,0,,,Mansoor Delane,mansoor delane,CB,KCC,2003-12-15,22.6,2026,1,6,6,,72,187,LSU,2026
17563,,,DOW662609,,,,4870706,,,28898674,DownCa00,caleb-downs-1,19399,,,42633,0,,,Caleb Downs,caleb downs,S,DAL,2004-12-10,21.6,2026,1,11,11,,72,205,Ohio State,2026
17564,,,RAM451449,,,,4685518,,,28926952,RamsKa01,kamari-ramsey-1,19589,,,42765,0,,,Kamari Ramsey,kamari ramsey,S,HOU,2004-08-24,21.9,2026,5,1,141,,72,205,USC,2026
17566,8ed0fa45-2483-45ba-8c8e-2e836634bf96,,ROY606086,,13435,,4565859,,,3169621,RoyeJo01,joe-royer-1,19312,,,42772,0,26843,,Joe Royer,joe royer,TE,CLE,2002-02-25,24.4,2026,5,30,170,,77,250,Cincinnati,2026
17567,e30ac2bf-f359-4913-8e92-0a97a7ebf289,,DEL659316,,13319,,4702559,,,28873644,DelpOs01,oscar-delp-1,18544,,2013,42695,0,25971,,Oscar Delp,oscar delp,TE,NOS,2003-08-04,23.0,2026,3,9,73,,77,245,Georgia,2026
17568,,,MES250563,,,,4429190,,,3168300,MesiAk01,akheem-mesidor-1,19406,,,42644,0,,,Akheem Mesidor,akheem mesidor,DE,LAC,2001-04-05,25.3,2026,1,22,22,,75,280,Miami,2026
17569,,,MCD411150,,,,4870893,,,29128875,McDoKa00,kayden-mcdonald-1,19274,,,42658,0,,,Kayden McDonald,kayden mcdonald,DT,HOU,2005-03-12,21.3,2026,2,4,36,,75,326,Ohio State,2026
17570,,,HUN721690,,,,4431551,,,26700916,HuntLe00,lee-hunter-1,19374,,,42671,0,,,Lee Hunter,lee hunter,DT,CAR,2002-07-02,24.0,2026,2,17,49,,76,318,Texas Tech,2026
17571,a305134e-4758-4b7f-a59a-44be06d4f7e0,,GOL029315,,13391,,4877652,,,26715531,GoldJa01,jake-golday-1,19419,,,42673,0,26884,,Jake Golday,jake golday,LB,MIN,2003-05-23,23.2,2026,2,19,51,,76,240,Cincinnati,2026
17572,,,TER273657,,,,4870988,,,29123901,TerrAv00,avieon-terrell-1,19413,,,42670,0,,,Avieon Terrell,avieon terrell,CB,ATL,2005-01-11,21.5,2026,2,16,48,,71,186,Clemson,2026
17573,,,JOH127117,,,,4869579,,,28923252,JohnCh09,chris-johnson-26,19575,,,42649,0,,,Chris Johnson,chris johnson,CB,MIA,2004-11-09,21.7,2026,1,27,27,,72,180,San Diego State,2026
